"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) New build","Percentage change (yearly) Existing properties","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-05,90739,monthly,10.05,8.14,2014-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-06,93994,monthly,9.24,8.26,2014-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-07,97288,monthly,9.37,8.59,2014-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-08,101680,monthly,9.23,9.05,2014-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-09,90912,monthly,7.36,9.28,2014-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-10,100184,monthly,8.21,9.51,2014-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-11,86142,monthly,6.52,8.61,2014-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-12,88917,monthly,6.34,7.83,2014-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-01,66819,monthly,7.11,6.98,2015-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-02,67070,monthly,6.13,6.71,2015-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-03,77669,monthly,6.51,6.7,2015-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-04,75240,monthly,4.31,5.36,2015-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-05,86144,monthly,2.87,5.51,2015-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-06,96979,monthly,2.18,5.43,2015-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-07,106216,monthly,4.72,5.53,2015-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-08,96533,monthly,4.26,5.26,2015-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-09,94554,monthly,4.54,5.35,2015-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-10,104451,monthly,4.98,5.65,2015-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-11,93854,monthly,6.37,6.79,2015-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-12,94397,monthly,7.14,6.89,2015-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-01,70959,monthly,7.39,7.79,2016-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-02,75907,monthly,8.22,7.68,2016-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-03,138124,monthly,9.15,8.36,2016-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-04,63854,monthly,10.61,7.67,2016-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-05,72174,monthly,13.13,7.58,2016-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-06,88475,monthly,11.69,7.91,2016-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-07,93197,monthly,9.32,7.35,2016-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-08,94407,monthly,8.92,6.34,2016-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-09,91720,monthly,8.83,5.94,2016-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-10,85296,monthly,9.41,5.36,2016-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-11,88926,monthly,9.3,5.03,2016-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-12,94685,monthly,6.43,5.07,2016-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-01,68663,monthly,9.18,4.43,2017-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-02,71432,monthly,6.68,4.79,2017-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-03,89388,monthly,5.23,3.52,2017-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-04,75980,monthly,4.49,4.91,2017-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-05,83671,monthly,2.38,4.44,2017-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-06,101940,monthly,4.38,4.17,2017-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-07,92257,monthly,5.75,4.34,2017-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-08,98938,monthly,5.69,4.84,2017-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-09,94287,monthly,5.95,4.58,2017-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-10,92827,monthly,5.05,5.11,2017-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-11,92234,monthly,3.02,4.41,2017-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-12,91613,monthly,3.86,4.59,2017-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-01,68243,monthly,4.37,4.32,2018-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-02,69000,monthly,8.68,3.9,2018-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-03,81851,monthly,4.32,3.97,2018-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-04,71864,monthly,5.22,3.19,2018-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-05,81587,monthly,2.98,3.25,2018-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-06,96021,monthly,4.09,2.97,2018-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-07,89224,monthly,3.61,2.92,2018-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-08,102001,monthly,5.06,2.63,2018-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-09,83602,monthly,3.18,3.02,2018-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-10,92636,monthly,4.53,2.6,2018-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-11,99027,monthly,2.26,2.81,2018-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-12,83837,monthly,2.8,2.01,2018-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-01,65597,monthly,0.94,1.77,2019-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-02,67756,monthly,0.22,1.3,2019-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-03,78955,monthly,2.07,1.42,2019-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-04,73561,monthly,1.41,1.25,2019-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-05,82426,monthly,1.74,0.88,2019-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-06,84287,monthly,-0.19,0.84,2019-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-07,89176,monthly,3.22,0.31,2019-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-08,95774,monthly,-0.32,0.74,2019-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-09,84025,monthly,2.26,0.73,2019-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-10,90625,monthly,0.24,0.8,2019-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-11,93439,monthly,-0.26,0.92,2019-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-12,84958,monthly,-1.44,1.17,2019-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-01,68585,monthly,4.33,1.27,2020-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-02,67463,monthly,-2.44,1.81,2020-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-03,69201,monthly,2.56,2.5,2020-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-04,28356,monthly,3.37,0.35,2020-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-05,36380,monthly,4.47,0.67,2020-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-06,53436,monthly,1.76,2.2,2020-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-07,63981,monthly,0.54,1.96,2020-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-08,67744,monthly,3.55,2.36,2020-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-09,78108,monthly,2.37,3.66,2020-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-10,97907,monthly,1.71,5.07,2020-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-11,96254,monthly,5.98,6.22,2020-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-12,104608,monthly,6.79,7.2,2020-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-01,78289,monthly,5.91,7.91,2021-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-02,96081,monthly,9.42,8.03,2021-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-03,135666,monthly,9.81,8.84,2021-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-04,87610,monthly,9.78,8.56,2021-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-05,78517,monthly,5.62,8.96,2021-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-06,163313,monthly,13.04,13.08,2021-06-01
